OBJECTID,SciName,CommName_E,CommName_F,Population,SpeciesID,SiteID,SiteName,CHApproach,CHMethod,Region,ProvTerr,LandTenure,UTMZone,Easting,Northing,Latitude,Longitude,Area_ha,Comments,DateEdited,CHStatus,CHDetail,CHVariant,FedDept,Shape_Leng,Shape_Area
24,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,615693.8125,5467030.792,49.3450152,-115.4071801,78.81915173,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3147.383377,788191.5173
25,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,586103.0612,5471006.804,49.38566757,-115.8136045,78.80001892,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3147.001151,788000.1892
26,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,602391.61,5474224.452,49.41208099,-115.5884048,74.38593006,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3099.686427,743859.3006
27,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,584044.1102,5475921.956,49.43015782,-115.8409279,78.77915509,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3146.584308,787791.5509
28,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,591117.5731,5478257.76,49.45014439,-115.7428629,78.76980944,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3146.397576,787698.0944
29,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,581843.467,5480770.922,49.47406552,-115.8702693,78.75864437,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3146.174482,787586.4437
30,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,580599.8867,5480378.611,49.47070376,-115.8875117,155.5132701,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5499.915528,1555132.701
31,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,580097.3687,5481957.817,49.48497236,-115.8941266,118.8755755,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3996.56211,1188755.755
32,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,597466.8184,5483796.221,49.49896318,-115.6539234,78.74705032,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3145.942803,787470.5032
33,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,580663.8224,5482923.483,49.49358171,-115.8861103,385.9503867,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,11416.02975,3859503.867
34,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,583129.6085,5484755.288,49.50972234,-115.8516817,78.74204842,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3145.842849,787420.4842
35,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,579021.9967,5492536.03,49.58024476,-115.9068512,78.70937358,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3145.189845,787093.7358
36,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,572667.5224,5500015.19,49.64830363,-115.9933563,215.2298322,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,6214.679195,2152298.322
37,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,579247.4309,5501142.856,49.65761643,-115.9019953,78.67376261,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3144.478053,786737.6261
38,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,582495.6031,5504078.984,49.68358491,-115.8563809,78.66186327,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3144.240183,786618.6327
39,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,342344.3847,5429731.813,49.00033604,-119.1555424,0.534651853,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,365.4800625,5346.518531
40,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,357883.903,5429396.265,49.00109218,-118.9430963,0.278476507,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,224.2255254,2784.76507
41,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,350734.1731,5429613.848,49.00136101,-119.0408682,1.297454171,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,464.0285879,12974.54171
42,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,331436.7194,5430232.438,49.00195432,-119.3047627,1.143005606,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,465.8726254,11430.05606
43,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,350402.7602,5429679.312,49.00186931,-119.0454206,8.071270766,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2316.796259,80712.70766
44,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,359661.6631,5429476.51,49.00222031,-118.9188318,21.30259832,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2958.279252,213025.9832
45,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,349345.3131,5429802.097,49.00271598,-119.0599148,1.685913199,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,732.5593785,16859.13199
46,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,350820.9001,5429778.807,49.00286495,-119.0397438,1.519317384,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,643.2600851,15193.17384
47,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,358567.8001,5429492.098,49.00211082,-118.9337846,6.041796033,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1156.029172,60417.96033
48,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,358195.2113,5429518.15,49.00225956,-118.938885,5.642077461,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1427.307161,56420.77461
49,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,347884.3336,5430004.163,49.00417422,-119.0799528,0.030888934,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,82.10511973,308.8893449
50,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,346140.4913,5430002.252,49.00372487,-119.1037798,2.57448441,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,935.7816334,25744.8441
51,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,350434.2657,5429858.139,49.00348458,-119.045056,3.141283398,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,966.2154128,31412.83398
52,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,331866.8329,5430348.024,49.00311054,-119.2989346,7.402812881,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1601.783542,74028.12881
53,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,345878.3653,5429792.671,49.00177544,-119.1072819,25.49726449,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5180.726076,254972.6449
54,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,355653.8577,5429615.239,49.00254344,-118.9736458,15.63503978,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2073.934357,156350.3978
55,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,356137.1745,5429676.393,49.00320605,-118.9670632,24.07206887,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3151.34085,240720.6887
56,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,343527.017,5430011.843,49.00315418,-119.1394926,16.13204291,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2427.110158,161320.4291
57,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,335841.7188,5430402.375,49.00466885,-119.2446509,34.37977326,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5080.1291,343797.7326
58,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,358454.2053,5430102.445,49.00757209,-118.9355496,0.519119407,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,367.530699,5191.194073
59,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,331878.0419,5430775.812,49.00695871,-119.2989585,2.475777424,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,682.1198024,24757.77424
60,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,345284.2425,5430384.979,49.00695137,-119.1156251,7.254098623,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2204.682671,72540.98623
61,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,347828.9416,5430448.483,49.00815486,-119.0808762,0.092371982,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,142.4702381,923.7198212
62,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,343392.5884,5430501.317,49.00752013,-119.1415181,2.259359564,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,638.758738,22593.59564
63,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,344840.9127,5430595.827,49.0087355,-119.1217635,0.101956882,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,196.3750009,1019.568819
64,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,342705.2777,5430264.383,49.0052155,-119.150818,33.65090632,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,4094.044912,336509.0632
65,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,335969.1001,5431119.158,49.01114566,-119.2432001,0.496011649,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,307.9764724,4960.116487
66,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,328303.2572,5431230.839,49.01006453,-119.3479912,3.241962649,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1068.939397,32419.62649
67,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,331746.1923,5431258.675,49.01126292,-119.30096,0.949532896,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,442.580092,9495.328959
68,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,328045.7816,5431352.051,49.01108231,-119.3515605,1.803087784,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,519.1182598,18030.87784
69,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,347314.7752,5430833.702,49.01149086,-119.0880472,0.369976179,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,269.3271916,3699.761795
70,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,328300.2188,5431523.458,49.01269376,-119.3481565,3.348378454,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,764.502809,33483.78454
71,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,355512.6053,5430769.121,49.01288408,-118.9759866,2.847482556,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1035.229955,28474.82556
72,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,355746.2536,5430799.82,49.01321473,-118.9728041,0.339063705,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,329.0772518,3390.637046
73,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,359252.8347,5430691.4,49.01304973,-118.9248395,1.197202495,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,560.6495565,11972.02495
74,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,358770.6164,5430311.509,49.00952416,-118.9312981,23.01217061,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,4126.788383,230121.7061
75,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,336284.227,5431286.168,49.01273055,-119.2389614,7.014574761,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,1717.586065,70145.74761
76,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_2,Okanagan-Boundary,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,354036.08,5431015.078,49.01474779,-118.996255,0.064808135,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,117.2937552,648.0813537
